"strain1","strain2","treatment1","treatment2","diff","common.pv","gxl.adjusted.pv"
"C3H/HeJ","C57BL/6J","control","control",11.5916666666667,0.25411522482084,0.609427075706412
"C3H/HeJ","DBA/2J","control","control",2.49166666666666,0.803464254475059,0.912605885773537
"C57BL/6J","DBA/2J","control","control",9.10000000000001,0.131975677722253,0.569347084855655
"C3H/HeJ","SWR/J","control","control",17.3333333333333,0.229973491870857,0.537064019398526
"C57BL/6J","SWR/J","control","control",28.925,0.00168889333965225,0.117480858504035
"DBA/2J","SWR/J","control","control",19.825,0.02093551304359,0.276412148128729
