"strain1","strain2","treatment1","treatment2","diff","common.pv","gxl.adjusted.pv"
"C3H/HeJ","C57BL/6J","control","control",0.0520247272903973,0.195167529293121,0.289979918012007
"C3H/HeJ","DBA/2J","control","control",0.00734729373782095,0.843485246053448,0.875070809458769
"C57BL/6J","DBA/2J","control","control",0.0593720210282183,0.129287751205866,0.21277939195075
"C3H/HeJ","SWR/J","control","control",0.190940296962084,5.00796115426092e-05,0.000191686770333594
"C57BL/6J","SWR/J","control","control",0.138915569671687,0.0013167880358485,0.00409002629629485
"DBA/2J","SWR/J","control","control",0.198287590699905,2.03175520543726e-05,7.31005445294494e-05
