"strain1","strain2","treatment1","treatment2","diff","common.pv","gxl.adjusted.pv"
"C3H/HeJ","C57BL/6J","control","control",22.1666666666667,0.056326352805146,0.211366833566883
"C3H/HeJ","DBA/2J","control","control",31.5,0.000434064609417982,0.00630576972096845
"C57BL/6J","DBA/2J","control","control",9.33333333333331,0.368907505032311,0.578957853141096
"C3H/HeJ","SWR/J","control","control",52.1666666666667,3.51698566742356e-06,3.15773181503896e-05
"C57BL/6J","SWR/J","control","control",30,0.0111461426794542,0.0785409988852894
"DBA/2J","SWR/J","control","control",20.6666666666667,0.00210257742026375,0.0237420275057585
