"strain1","strain2","treatment1","treatment2","diff","common.pv","gxl.adjusted.pv"
"C3H/HeJ","C57BL/6J","control","control",0.134444444444444,0.914234948559478,0.914234955164474
"C3H/HeJ","DBA/2J","control","control",0.439999999999998,0.723907784543557,0.723907805922698
"C57BL/6J","DBA/2J","control","control",0.305555555555554,0.842547348202315,0.842547360158944
"C3H/HeJ","SWR/J","control","control",4.48,3.67851876819845e-06,3.67850960308066e-06
"C57BL/6J","SWR/J","control","control",4.34555555555555,0.000785071963228774,0.00078507156172488
"DBA/2J","SWR/J","control","control",4.04,0.0014987565125324,0.00149875606028509
