"strain1","strain2","treatment1","treatment2","diff","common.pv","gxl.adjusted.pv"
"C3H/HeJ","C57BL/6J","control","control",0.00622109114054403,0.917632930026035,0.926459669224585
"C3H/HeJ","DBA/2J","control","control",0.106194964097135,0.0768006145367516,0.112826671702191
"C57BL/6J","DBA/2J","control","control",0.0999738729565913,0.0339508844625837,0.0531439226176672
