"strain1","strain2","treatment1","treatment2","diff","common.pv","gxl.adjusted.pv"
"C3H/HeJ","C57BL/6J","control","control",2.10262272727273,0.182184055086058,0.503604793060957
"C3H/HeJ","DBA/2J","control","control",10.1975383838384,1.84460221535606e-06,0.000996286351977033
"C57BL/6J","DBA/2J","control","control",12.3001611111111,2.46368355562248e-09,0.000272930360646461
"C3H/HeJ","SWR/J","control","control",4.07160606060606,0.0451810658109423,0.265323515937047
"C57BL/6J","SWR/J","control","control",1.96898333333333,0.229584336068875,0.556191448619976
"DBA/2J","SWR/J","control","control",14.2691444444444,9.20029468961645e-08,0.000198499449074015
