"strain1","strain2","treatment1","treatment2","diff","common.pv","gxl.adjusted.pv"
"C3H/HeJ","C57BL/6J","control","control",3.48834212797588,3.08064043826351e-09,4.13646196968561e-05
"C3H/HeJ","DBA/2J","control","control",0.833025080031719,0.311203944560296,0.451571635981818
"C57BL/6J","DBA/2J","control","control",4.3213672080076,6.19542148744198e-07,0.000325446562689532
"C3H/HeJ","SWR/J","control","control",2.5692848576466,1.61157987024133e-07,4.3821557368989e-05
"C57BL/6J","SWR/J","control","control",0.919057270329281,0.0197714995152772,0.122343660967255
"DBA/2J","SWR/J","control","control",3.40230993767832,0.000180442462732068,0.00334091257711381
