"","strain1","strain2","sig.at.both","not.sig.gxl"
"606","BUB/BnJ","CE/J",1,0
"607","BUB/BnJ","CZECHII/EiJ",1,0
"608","BUB/BnJ","I/LnJ",1,0
"609","BUB/BnJ","JF1/MsJ",1,0
"610","BUB/BnJ","LP/J",1,0
"611","BUB/BnJ","NZB/BlNJ",0,1
"612","BUB/BnJ","PERA/EiJ",1,0
"613","BUB/BnJ","PL/J",1,0
"614","BUB/BnJ","RIIIS/J",1,0
"615","BUB/BnJ","SEA/GnJ",1,0
"616","BUB/BnJ","SPRET/EiJ",1,0
"617","BUB/BnJ","SWR/J",1,0
"618","C57BL/10J","C57BL/6J",0,0
"619","C57BL/10J","C57BLKS/J",0,0
"620","C57BL/10J","CAST/EiJ",1,0
"621","C57BL/10J","CBA/J",1,0
"622","C57BL/10J","DBA/2J",0,1
"623","C57BL/10J","FVB/NJ",0,0
"624","C57BL/10J","KK/HlJ",1,0
"625","C57BL/10J","MA/MyJ",0,0
"626","C57BL/10J","MOLF/EiJ",1,0
"627","C57BL/10J","MSM/MsJ",1,0
"628","C57BL/10J","NOD/ShiLtJ",0,1
"629","C57BL/10J","NON/ShiLtJ",1,0
"630","C57BL/10J","NZW/LacJ",1,0
"631","C57BL/10J","PWK/PhJ",1,0
"632","C57BL/10J","SJL/J",0,0
"633","C57BL/10J","SM/J",1,0
"634","C57BL/10J","WSB/EiJ",1,0
"635","C57BL/10J","C57BR/cdJ",0,0
"636","C57BL/10J","C57L/J",0,0
"637","C57BL/10J","C58/J",0,0
"638","C57BL/10J","CE/J",1,0
"639","C57BL/10J","CZECHII/EiJ",1,0
"640","C57BL/10J","I/LnJ",0,0
"641","C57BL/10J","JF1/MsJ",1,0
"642","C57BL/10J","LP/J",0,0
"643","C57BL/10J","NZB/BlNJ",1,0
"644","C57BL/10J","PERA/EiJ",0,0
"645","C57BL/10J","PL/J",1,0
"646","C57BL/10J","RIIIS/J",1,0
"647","C57BL/10J","SEA/GnJ",1,0
"648","C57BL/10J","SPRET/EiJ",1,0
"649","C57BL/10J","SWR/J",1,0
"650","C57BR/cdJ","CAST/EiJ",1,0
"651","C57BR/cdJ","CBA/J",1,0
"652","C57BR/cdJ","DBA/2J",0,0
"653","C57BR/cdJ","FVB/NJ",0,0
"654","C57BR/cdJ","KK/HlJ",1,0
"655","C57BR/cdJ","MA/MyJ",1,0
"656","C57BR/cdJ","MOLF/EiJ",1,0
"657","C57BR/cdJ","MSM/MsJ",1,0
"658","C57BR/cdJ","NOD/ShiLtJ",0,0
"659","C57BR/cdJ","NON/ShiLtJ",1,0
"660","C57BR/cdJ","NZW/LacJ",1,0
"661","C57BR/cdJ","PWK/PhJ",1,0
"662","C57BR/cdJ","SJL/J",0,0
"663","C57BR/cdJ","SM/J",1,0
"664","C57BR/cdJ","WSB/EiJ",1,0
"665","C57BR/cdJ","C57L/J",0,0
"666","C57BR/cdJ","C58/J",1,0
"667","C57BR/cdJ","CE/J",1,0
"668","C57BR/cdJ","CZECHII/EiJ",1,0
"669","C57BR/cdJ","I/LnJ",0,0
"670","C57BR/cdJ","JF1/MsJ",1,0
"671","C57BR/cdJ","LP/J",1,0
"672","C57BR/cdJ","NZB/BlNJ",1,0
"673","C57BR/cdJ","PERA/EiJ",0,0
"674","C57BR/cdJ","PL/J",1,0
"675","C57BR/cdJ","RIIIS/J",1,0
"676","C57BR/cdJ","SEA/GnJ",1,0
"677","C57BR/cdJ","SPRET/EiJ",1,0
"678","C57BR/cdJ","SWR/J",1,0
"679","C57L/J","CAST/EiJ",1,0
"680","C57L/J","CBA/J",1,0
"681","C57L/J","DBA/2J",0,0
"682","C57L/J","FVB/NJ",0,0
"683","C57L/J","KK/HlJ",1,0
"684","C57L/J","MA/MyJ",0,1
"685","C57L/J","MOLF/EiJ",1,0
"686","C57L/J","MSM/MsJ",1,0
"687","C57L/J","NOD/ShiLtJ",0,0
"688","C57L/J","NON/ShiLtJ",1,0
"689","C57L/J","NZW/LacJ",0,1
"690","C57L/J","PWK/PhJ",1,0
"691","C57L/J","SJL/J",0,0
"692","C57L/J","SM/J",1,0
"693","C57L/J","WSB/EiJ",1,0
"694","C57L/J","C58/J",0,0
"695","C57L/J","CE/J",0,1
"696","C57L/J","CZECHII/EiJ",1,0
"697","C57L/J","I/LnJ",0,0
"698","C57L/J","JF1/MsJ",1,0
"699","C57L/J","LP/J",0,0
"700","C57L/J","NZB/BlNJ",1,0
"701","C57L/J","PERA/EiJ",0,0
"702","C57L/J","PL/J",1,0
"703","C57L/J","RIIIS/J",1,0
"704","C57L/J","SEA/GnJ",1,0
"705","C57L/J","SPRET/EiJ",1,0
"706","C57L/J","SWR/J",1,0
"707","C58/J","CAST/EiJ",1,0
"708","C58/J","CBA/J",1,0
"709","C58/J","DBA/2J",1,0
"710","C58/J","FVB/NJ",1,0
"711","C58/J","KK/HlJ",1,0
"712","C58/J","MA/MyJ",0,0
"713","C58/J","MOLF/EiJ",1,0
"714","C58/J","MSM/MsJ",1,0
"715","C58/J","NOD/ShiLtJ",1,0
"716","C58/J","NON/ShiLtJ",1,0
"717","C58/J","NZW/LacJ",1,0
"718","C58/J","PWK/PhJ",1,0
"719","C58/J","SJL/J",0,0
"720","C58/J","SM/J",1,0
"721","C58/J","WSB/EiJ",1,0
"722","C58/J","CE/J",1,0
"723","C58/J","CZECHII/EiJ",1,0
"724","C58/J","I/LnJ",0,0
"725","C58/J","JF1/MsJ",1,0
"726","C58/J","LP/J",0,0
"727","C58/J","NZB/BlNJ",1,0
"728","C58/J","PERA/EiJ",0,0
"729","C58/J","PL/J",0,0
"730","C58/J","RIIIS/J",1,0
"731","C58/J","SEA/GnJ",0,0
"732","C58/J","SPRET/EiJ",1,0
"733","C58/J","SWR/J",0,0
"734","CE/J","DBA/2J",0,0
"735","CE/J","FVB/NJ",0,0
"736","CE/J","KK/HlJ",1,0
"737","CE/J","MA/MyJ",1,0
"738","CE/J","MOLF/EiJ",1,0
"739","CE/J","MSM/MsJ",1,0
"740","CE/J","NOD/ShiLtJ",0,0
"741","CE/J","NON/ShiLtJ",1,0
"742","CE/J","NZW/LacJ",0,0
"743","CE/J","PWK/PhJ",1,0
"744","CE/J","SJL/J",1,0
"745","CE/J","SM/J",1,0
"746","CE/J","WSB/EiJ",1,0
"747","CE/J","CZECHII/EiJ",1,0
"748","CE/J","I/LnJ",0,1
"749","CE/J","JF1/MsJ",1,0
"750","CE/J","LP/J",1,0
"751","CE/J","NZB/BlNJ",0,0
"752","CE/J","PERA/EiJ",0,1
"753","CE/J","PL/J",1,0
"754","CE/J","RIIIS/J",1,0
"755","CE/J","SEA/GnJ",1,0
"756","CE/J","SPRET/EiJ",1,0
"757","CE/J","SWR/J",1,0
"758","CZECHII/EiJ","DBA/2J",1,0
"759","CZECHII/EiJ","FVB/NJ",1,0
"760","CZECHII/EiJ","KK/HlJ",1,0
"761","CZECHII/EiJ","MA/MyJ",1,0
"762","CZECHII/EiJ","MOLF/EiJ",0,0
"763","CZECHII/EiJ","MSM/MsJ",1,0
"764","CZECHII/EiJ","NOD/ShiLtJ",1,0
"765","CZECHII/EiJ","NON/ShiLtJ",1,0
"766","CZECHII/EiJ","NZW/LacJ",1,0
"767","CZECHII/EiJ","PWK/PhJ",1,0
"768","CZECHII/EiJ","SJL/J",1,0
"769","CZECHII/EiJ","SM/J",1,0
"770","CZECHII/EiJ","WSB/EiJ",1,0
"771","CZECHII/EiJ","I/LnJ",1,0
"772","CZECHII/EiJ","JF1/MsJ",1,0
"773","CZECHII/EiJ","LP/J",1,0
"774","CZECHII/EiJ","NZB/BlNJ",1,0
"775","CZECHII/EiJ","PERA/EiJ",1,0
"776","CZECHII/EiJ","PL/J",1,0
"777","CZECHII/EiJ","RIIIS/J",1,0
"778","CZECHII/EiJ","SEA/GnJ",1,0
"779","CZECHII/EiJ","SPRET/EiJ",1,0
"780","CZECHII/EiJ","SWR/J",1,0
"781","I/LnJ","KK/HlJ",1,0
"782","I/LnJ","MA/MyJ",0,0
"783","I/LnJ","MOLF/EiJ",1,0
"784","I/LnJ","MSM/MsJ",1,0
"785","I/LnJ","NOD/ShiLtJ",0,0
"786","I/LnJ","NON/ShiLtJ",1,0
"787","I/LnJ","NZW/LacJ",1,0
"788","I/LnJ","PWK/PhJ",1,0
"789","I/LnJ","SJL/J",0,0
"790","I/LnJ","SM/J",1,0
"791","I/LnJ","WSB/EiJ",1,0
"792","I/LnJ","JF1/MsJ",1,0
"793","I/LnJ","LP/J",0,0
"794","I/LnJ","NZB/BlNJ",1,0
"795","I/LnJ","PERA/EiJ",0,0
"796","I/LnJ","PL/J",0,1
"797","I/LnJ","RIIIS/J",1,0
"798","I/LnJ","SEA/GnJ",0,1
"799","I/LnJ","SPRET/EiJ",1,0
"800","I/LnJ","SWR/J",0,0
"801","JF1/MsJ","KK/HlJ",1,0
"802","JF1/MsJ","MA/MyJ",1,0
"803","JF1/MsJ","MOLF/EiJ",1,0
"804","JF1/MsJ","MSM/MsJ",1,0
"805","JF1/MsJ","NOD/ShiLtJ",1,0
"806","JF1/MsJ","NON/ShiLtJ",1,0
"807","JF1/MsJ","NZW/LacJ",1,0
"808","JF1/MsJ","PWK/PhJ",1,0
"809","JF1/MsJ","SJL/J",1,0
"810","JF1/MsJ","SM/J",0,0
"811","JF1/MsJ","WSB/EiJ",1,0
"812","JF1/MsJ","LP/J",1,0
"813","JF1/MsJ","NZB/BlNJ",1,0
"814","JF1/MsJ","PERA/EiJ",1,0
"815","JF1/MsJ","PL/J",0,1
"816","JF1/MsJ","RIIIS/J",0,0
"817","JF1/MsJ","SEA/GnJ",0,1
"818","JF1/MsJ","SPRET/EiJ",0,0
"819","JF1/MsJ","SWR/J",1,0
"820","LP/J","MA/MyJ",0,0
"821","LP/J","MOLF/EiJ",1,0
"822","LP/J","MSM/MsJ",1,0
"823","LP/J","NOD/ShiLtJ",1,0
"824","LP/J","NON/ShiLtJ",1,0
"825","LP/J","NZW/LacJ",1,0
"826","LP/J","PWK/PhJ",1,0
"827","LP/J","SJL/J",0,0
"828","LP/J","SM/J",1,0
"829","LP/J","WSB/EiJ",1,0
"830","LP/J","NZB/BlNJ",1,0
"831","LP/J","PERA/EiJ",0,0
"832","LP/J","PL/J",1,0
"833","LP/J","RIIIS/J",1,0
"834","LP/J","SEA/GnJ",1,0
"835","LP/J","SPRET/EiJ",1,0
"836","LP/J","SWR/J",0,0
"837","NZB/BlNJ","NZW/LacJ",0,0
"838","NZB/BlNJ","PWK/PhJ",1,0
"839","NZB/BlNJ","SJL/J",1,0
"840","NZB/BlNJ","SM/J",1,0
"841","NZB/BlNJ","WSB/EiJ",1,0
"842","NZB/BlNJ","PERA/EiJ",1,0
"843","NZB/BlNJ","PL/J",1,0
"844","NZB/BlNJ","RIIIS/J",1,0
"845","NZB/BlNJ","SEA/GnJ",1,0
"846","NZB/BlNJ","SPRET/EiJ",1,0
"847","NZB/BlNJ","SWR/J",1,0
"848","PERA/EiJ","PWK/PhJ",1,0
"849","PERA/EiJ","SJL/J",0,0
"850","PERA/EiJ","SM/J",1,0
"851","PERA/EiJ","WSB/EiJ",1,0
"852","PERA/EiJ","PL/J",1,0
"853","PERA/EiJ","RIIIS/J",1,0
"854","PERA/EiJ","SEA/GnJ",1,0
"855","PERA/EiJ","SPRET/EiJ",1,0
"856","PERA/EiJ","SWR/J",0,1
"857","PL/J","PWK/PhJ",1,0
"858","PL/J","SJL/J",1,0
"859","PL/J","SM/J",1,0
"860","PL/J","WSB/EiJ",1,0
"861","PL/J","RIIIS/J",0,0
"862","PL/J","SEA/GnJ",0,0
"863","PL/J","SPRET/EiJ",1,0
"864","PL/J","SWR/J",0,0
"865","RIIIS/J","SJL/J",1,0
"866","RIIIS/J","SM/J",0,0
"867","RIIIS/J","WSB/EiJ",1,0
"868","RIIIS/J","SEA/GnJ",0,0
"869","RIIIS/J","SPRET/EiJ",1,0
"870","RIIIS/J","SWR/J",1,0
"871","SEA/GnJ","SJL/J",1,0
"872","SEA/GnJ","SM/J",1,0
"873","SEA/GnJ","WSB/EiJ",1,0
"874","SEA/GnJ","SPRET/EiJ",1,0
"875","SEA/GnJ","SWR/J",0,0
"876","SPRET/EiJ","WSB/EiJ",0,0
"877","SPRET/EiJ","SWR/J",1,0
"878","SWR/J","WSB/EiJ",1,0
