measnum,projsym,varname,label,strain,sex,value,animal_id,stocknum,strainid
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,129S1/SvImJ,f,0,162,002448,3
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,129S1/SvImJ,f,0.6000,85,002448,3
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,129S1/SvImJ,f,0,83,002448,3
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,129S1/SvImJ,f,0,368,002448,3
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,129S1/SvImJ,f,0.7167,367,002448,3
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,129S1/SvImJ,f,0,293,002448,3
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,129S1/SvImJ,f,0.03330,291,002448,3
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,129S1/SvImJ,f,0.5667,221,002448,3
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,129S1/SvImJ,f,2.800,219,002448,3
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,129S1/SvImJ,f,0.7833,164,002448,3
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,A/J,f,2.033,90,000646,4
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,A/J,f,0,151,000646,4
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,A/J,f,8.867,152,000646,4
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,A/J,f,0.3167,285,000646,4
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,A/J,f,0,286,000646,4
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,A/J,f,0,359,000646,4
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,A/J,f,0,360,000646,4
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,A/J,f,0,550,000646,4
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,A/J,f,1.267,556,000646,4
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,A/J,f,0.3833,557,000646,4
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,A/J,f,0.8167,87,000646,4
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,AKR/J,f,4.850,165,000648,15
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,AKR/J,f,5.250,93,000648,15
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,AKR/J,f,6.617,92,000648,15
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,AKR/J,f,7.533,532,000648,15
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,AKR/J,f,7.417,528,000648,15
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,AKR/J,f,15.88,527,000648,15
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,AKR/J,f,13.45,392,000648,15
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,AKR/J,f,21.38,391,000648,15
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,AKR/J,f,14.30,313,000648,15
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,AKR/J,f,11.88,311,000648,15
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,AKR/J,f,17.67,166,000648,15
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BALB/cByJ,f,9.283,818,001026,50
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BALB/cByJ,f,7.900,819,001026,50
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BALB/cByJ,f,11.10,718,001026,50
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BALB/cByJ,f,9.100,717,001026,50
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BALB/cByJ,f,7.050,409,001026,50
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BALB/cByJ,f,3.800,306,001026,50
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BALB/cByJ,f,1.867,303,001026,50
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BALB/cByJ,f,1.283,244,001026,50
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BALB/cByJ,f,5.217,243,001026,50
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BALB/cByJ,f,2.100,172,001026,50
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BALB/cByJ,f,5.200,170,001026,50
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BTBR T<+> Itpr3<tf>/J,f,13.95,633,002282,1
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BTBR T<+> Itpr3<tf>/J,f,2.633,179,002282,1
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BTBR T<+> Itpr3<tf>/J,f,8.167,180,002282,1
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BTBR T<+> Itpr3<tf>/J,f,3.067,249,002282,1
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BTBR T<+> Itpr3<tf>/J,f,7.733,251,002282,1
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BTBR T<+> Itpr3<tf>/J,f,4.033,321,002282,1
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BTBR T<+> Itpr3<tf>/J,f,1.950,322,002282,1
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BTBR T<+> Itpr3<tf>/J,f,6.250,369,002282,1
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BTBR T<+> Itpr3<tf>/J,f,5.083,371,002282,1
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BTBR T<+> Itpr3<tf>/J,f,15.98,377,002282,1
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,BTBR T<+> Itpr3<tf>/J,f,5.100,380,002282,1
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C3H/HeJ,f,14.92,626,000659,6
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C3H/HeJ,f,13.07,183,000659,6
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C3H/HeJ,f,6.200,185,000659,6
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C3H/HeJ,f,9.567,257,000659,6
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C3H/HeJ,f,18.88,258,000659,6
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C3H/HeJ,f,11.18,309,000659,6
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C3H/HeJ,f,14.30,384,000659,6
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C3H/HeJ,f,12.42,385,000659,6
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C3H/HeJ,f,11.02,507,000659,6
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C3H/HeJ,f,13.95,509,000659,6
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C3H/HeJ,f,3.817,511,000659,6
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C57BL/6J,f,10.23,334,000664,7
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C57BL/6J,f,12.68,324,000664,7
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C57BL/6J,f,14.50,290,000664,7
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C57BL/6J,f,11.08,289,000664,7
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C57BL/6J,f,15.08,287,000664,7
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C57BL/6J,f,10.22,23,000664,7
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C57BL/6J,f,8.750,199,000664,7
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C57BL/6J,f,16.47,156,000664,7
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C57BL/6J,f,19.87,134,000664,7
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C57BL/6J,f,8.950,133,000664,7
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C57BL/6J,f,12.92,408,000664,7
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C57BL/6J,f,16.13,45,000664,7
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C57BL/6J,f,6.517,47,000664,7
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C57BL/6J,f,19.28,575,000664,7
50626,Tarantino2,OFT_center_duration_pct_ctrl,control,C57BL/6J,f,12.45,576,000664,7
