"","strain","FEMALES_grip_strength","group"
"197","PERA/EiJ",123,"control"
"198","PERA/EiJ",119,"control"
"199","PERA/EiJ",125,"control"
"200","PERA/EiJ",111,"control"
"201","PERA/EiJ",98.8,"control"
"202","PL/J",103,"control"
"203","PL/J",NA,"control"
"204","PL/J",NA,"control"
"205","PL/J",NA,"control"
"206","PL/J",NA,"control"
"207","PL/J",NA,"control"
"208","PL/J",NA,"control"
"209","PL/J",106,"control"
"210","PL/J",107,"control"
"211","PL/J",102,"control"
"212","PL/J",102,"control"
"213","PL/J",108,"control"
"214","SJL/J",NA,"control"
"215","SJL/J",92.8,"control"
"216","SJL/J",82.2,"control"
"217","SJL/J",NA,"control"
"218","SJL/J",NA,"control"
"219","SJL/J",NA,"control"
"220","SJL/J",NA,"control"
"221","SJL/J",117,"control"
"222","SJL/J",116,"control"
"223","SJL/J",91.4,"control"
"224","SJL/J",94.3,"control"
"225","SM/J",NA,"control"
"226","SM/J",NA,"control"
"227","SM/J",88.3,"control"
"228","SM/J",90.1,"control"
"229","SM/J",101,"control"
"230","SM/J",103,"control"
"231","SM/J",98.9,"control"
"232","SM/J",87.2,"control"
"233","SM/J",NA,"control"
"234","SM/J",NA,"control"
"235","SM/J",NA,"control"
"236","SM/J",NA,"control"
"237","SPRET/EiJ",67.1,"control"
"238","SPRET/EiJ",120,"control"
"239","SPRET/EiJ",74,"control"
"240","SPRET/EiJ",20.1,"control"
"241","SPRET/EiJ",92.5,"control"
"242","SPRET/EiJ",NA,"control"
"243","SPRET/EiJ",NA,"control"
"244","SPRET/EiJ",NA,"control"
"245","SPRET/EiJ",NA,"control"
"246","SPRET/EiJ",67.1,"control"
"247","SWR/J",103,"control"
"248","SWR/J",68,"control"
"249","SWR/J",98.9,"control"
"250","SWR/J",104,"control"
"251","SWR/J",NA,"control"
"252","SWR/J",NA,"control"
"253","SWR/J",NA,"control"
"254","SWR/J",NA,"control"
"255","SWR/J",NA,"control"
"256","SWR/J",NA,"control"
"257","SWR/J",65.9,"control"
"258","SWR/J",98,"control"
