"","strain","FEMALES_percentage_center_time","group"
"140","FVB/NJ",0.09167,"control"
"141","FVB/NJ",0.1612,"control"
"142","FVB/NJ",0.1322,"control"
"143","FVB/NJ",0.1338,"control"
"144","FVB/NJ",0.1702,"control"
"145","FVB/NJ",0.1035,"control"
"146","FVB/NJ",0.15,"control"
"147","FVB/NJ",0.1512,"control"
"148","I/LnJ",0.1517,"control"
"149","I/LnJ",0.1877,"control"
"150","I/LnJ",0.1227,"control"
"151","I/LnJ",0.1263,"control"
"152","I/LnJ",0.0895,"control"
"153","I/LnJ",0.1833,"control"
"154","I/LnJ",0.09017,"control"
"155","I/LnJ",0.04217,"control"
"156","I/LnJ",0.1688,"control"
"157","I/LnJ",0.1685,"control"
"158","I/LnJ",0.1152,"control"
"159","I/LnJ",0.1023,"control"
"160","KK/HlJ",0.125,"control"
"161","KK/HlJ",0.09983,"control"
"162","KK/HlJ",0.0815,"control"
"163","KK/HlJ",0.1922,"control"
"164","KK/HlJ",0.1867,"control"
"165","KK/HlJ",0.1092,"control"
"166","LG/J",0.1158,"control"
"167","LG/J",0.09333,"control"
"168","LG/J",0.215,"control"
"169","LG/J",0.1643,"control"
"170","LG/J",0.1088,"control"
"171","LG/J",0.1357,"control"
"172","LG/J",0,"control"
"173","LG/J",0.2113,"control"
"174","LG/J",0.1018,"control"
"175","LG/J",0.2392,"control"
"176","LP/J",0.04117,"control"
"177","LP/J",0.0115,"control"
"178","LP/J",0.024,"control"
"179","LP/J",0.04617,"control"
"180","LP/J",0.041,"control"
"181","LP/J",0.009,"control"
"182","LP/J",0.03517,"control"
"183","LP/J",0.08317,"control"
"184","LP/J",0.03633,"control"
"185","MA/MyJ",0.2088,"control"
"186","MA/MyJ",0.2955,"control"
"187","MA/MyJ",0.22,"control"
"188","MA/MyJ",0.179,"control"
"189","MA/MyJ",0.2707,"control"
"190","MA/MyJ",0.1838,"control"
"191","MA/MyJ",0.2622,"control"
"192","MA/MyJ",0.2713,"control"
"193","MA/MyJ",0.3028,"control"
"194","MOLF/EiJ",0.09667,"control"
"195","MOLF/EiJ",0.08433,"control"
"196","MOLF/EiJ",0.2193,"control"
"197","MOLF/EiJ",0.1425,"control"
"198","MOLF/EiJ",0.1663,"control"
"199","MOLF/EiJ",0.1263,"control"
"200","MOLF/EiJ",0.08817,"control"
"201","MRL/MpJ",0.074,"control"
"202","MRL/MpJ",0.0935,"control"
"203","MRL/MpJ",0.0685,"control"
"204","MRL/MpJ",0.07133,"control"
"205","MRL/MpJ",0.04133,"control"
"206","MRL/MpJ",0.2113,"control"
"207","MRL/MpJ",0.1277,"control"
"208","MRL/MpJ",0.1035,"control"
"209","MRL/MpJ",0.03467,"control"
"210","MRL/MpJ",0.134,"control"
"211","NOD/ShiLtJ",0.1175,"control"
"212","NOD/ShiLtJ",0.1323,"control"
"213","NOD/ShiLtJ",0.2153,"control"
"214","NOD/ShiLtJ",0.1693,"control"
"215","NOD/ShiLtJ",0.2633,"control"
"216","NOD/ShiLtJ",0.09267,"control"
"217","NOD/ShiLtJ",0.2923,"control"
"218","NOD/ShiLtJ",0.3182,"control"
"219","NOD/ShiLtJ",0.05267,"control"
"220","NOD/ShiLtJ",0.1782,"control"
"221","NON/ShiLtJ",0.09533,"control"
"222","NON/ShiLtJ",0.1285,"control"
"223","NON/ShiLtJ",0.1045,"control"
"224","NON/ShiLtJ",0.141,"control"
"225","NON/ShiLtJ",0.1648,"control"
"226","NON/ShiLtJ",0.09433,"control"
"227","NON/ShiLtJ",0.2052,"control"
"228","NON/ShiLtJ",0.2378,"control"
"229","NON/ShiLtJ",0.2798,"control"
"230","NON/ShiLtJ",0.1423,"control"
"231","NON/ShiLtJ",0.177,"control"
"232","NON/ShiLtJ",0.1247,"control"
"233","NOR/LtJ",0.1667,"control"
"234","NOR/LtJ",0.1378,"control"
"235","NOR/LtJ",0.2517,"control"
"236","NOR/LtJ",0.1713,"control"
"237","NOR/LtJ",0.189,"control"
"238","NOR/LtJ",0.197,"control"
"239","NOR/LtJ",0.08667,"control"
"240","NOR/LtJ",0.1058,"control"
"241","NOR/LtJ",0.2853,"control"
"242","NOR/LtJ",0.2508,"control"
"243","NOR/LtJ",0.1587,"control"
"244","NOR/LtJ",0.1308,"control"
"245","NZO/HlLtJ",0.025,"control"
"246","NZO/HlLtJ",0.001,"control"
"247","NZO/HlLtJ",0,"control"
"248","NZO/HlLtJ",0.02367,"control"
"249","NZO/HlLtJ",0.1,"control"
"250","NZO/HlLtJ",0.045,"control"
"251","NZO/HlLtJ",0.03683,"control"
"252","NZW/LacJ",0.09617,"control"
"253","NZW/LacJ",0.07017,"control"
"254","NZW/LacJ",0.1475,"control"
"255","NZW/LacJ",0.067,"control"
"256","NZW/LacJ",0.07233,"control"
"257","NZW/LacJ",0.144,"control"
"258","NZW/LacJ",0.06383,"control"
