measnum,projsym,varname,label,strain,sex,value,animal_id,stocknum,strainid
50601,Tarantino2,OFT_distance_ctrl,control,129S1/SvImJ,f,1279,162,002448,3
50601,Tarantino2,OFT_distance_ctrl,control,129S1/SvImJ,f,78,85,002448,3
50601,Tarantino2,OFT_distance_ctrl,control,129S1/SvImJ,f,221,83,002448,3
50601,Tarantino2,OFT_distance_ctrl,control,129S1/SvImJ,f,61,368,002448,3
50601,Tarantino2,OFT_distance_ctrl,control,129S1/SvImJ,f,412,367,002448,3
50601,Tarantino2,OFT_distance_ctrl,control,129S1/SvImJ,f,1358,293,002448,3
50601,Tarantino2,OFT_distance_ctrl,control,129S1/SvImJ,f,1097,291,002448,3
50601,Tarantino2,OFT_distance_ctrl,control,129S1/SvImJ,f,930,221,002448,3
50601,Tarantino2,OFT_distance_ctrl,control,129S1/SvImJ,f,1705,219,002448,3
50601,Tarantino2,OFT_distance_ctrl,control,129S1/SvImJ,f,212,164,002448,3
50601,Tarantino2,OFT_distance_ctrl,control,A/J,f,646,90,000646,4
50601,Tarantino2,OFT_distance_ctrl,control,A/J,f,104,151,000646,4
50601,Tarantino2,OFT_distance_ctrl,control,A/J,f,1041,152,000646,4
50601,Tarantino2,OFT_distance_ctrl,control,A/J,f,423,285,000646,4
50601,Tarantino2,OFT_distance_ctrl,control,A/J,f,66,286,000646,4
50601,Tarantino2,OFT_distance_ctrl,control,A/J,f,21,359,000646,4
50601,Tarantino2,OFT_distance_ctrl,control,A/J,f,220,360,000646,4
50601,Tarantino2,OFT_distance_ctrl,control,A/J,f,548,550,000646,4
50601,Tarantino2,OFT_distance_ctrl,control,A/J,f,895,556,000646,4
50601,Tarantino2,OFT_distance_ctrl,control,A/J,f,678,557,000646,4
50601,Tarantino2,OFT_distance_ctrl,control,A/J,f,894,87,000646,4
50601,Tarantino2,OFT_distance_ctrl,control,AKR/J,f,1915,165,000648,15
50601,Tarantino2,OFT_distance_ctrl,control,AKR/J,f,2167,93,000648,15
50601,Tarantino2,OFT_distance_ctrl,control,AKR/J,f,2867,92,000648,15
50601,Tarantino2,OFT_distance_ctrl,control,AKR/J,f,3193,532,000648,15
50601,Tarantino2,OFT_distance_ctrl,control,AKR/J,f,2109,528,000648,15
50601,Tarantino2,OFT_distance_ctrl,control,AKR/J,f,3281,527,000648,15
50601,Tarantino2,OFT_distance_ctrl,control,AKR/J,f,4216,392,000648,15
50601,Tarantino2,OFT_distance_ctrl,control,AKR/J,f,3161,391,000648,15
50601,Tarantino2,OFT_distance_ctrl,control,AKR/J,f,3055,313,000648,15
50601,Tarantino2,OFT_distance_ctrl,control,AKR/J,f,4016,311,000648,15
50601,Tarantino2,OFT_distance_ctrl,control,AKR/J,f,2820,166,000648,15
50601,Tarantino2,OFT_distance_ctrl,control,BALB/cByJ,f,2706,818,001026,50
50601,Tarantino2,OFT_distance_ctrl,control,BALB/cByJ,f,2409,819,001026,50
50601,Tarantino2,OFT_distance_ctrl,control,BALB/cByJ,f,2156,718,001026,50
50601,Tarantino2,OFT_distance_ctrl,control,BALB/cByJ,f,2647,717,001026,50
50601,Tarantino2,OFT_distance_ctrl,control,BALB/cByJ,f,2037,409,001026,50
50601,Tarantino2,OFT_distance_ctrl,control,BALB/cByJ,f,1855,306,001026,50
50601,Tarantino2,OFT_distance_ctrl,control,BALB/cByJ,f,1911,303,001026,50
50601,Tarantino2,OFT_distance_ctrl,control,BALB/cByJ,f,1718,244,001026,50
50601,Tarantino2,OFT_distance_ctrl,control,BALB/cByJ,f,2165,243,001026,50
50601,Tarantino2,OFT_distance_ctrl,control,BALB/cByJ,f,2231,172,001026,50
50601,Tarantino2,OFT_distance_ctrl,control,BALB/cByJ,f,2239,170,001026,50
50601,Tarantino2,OFT_distance_ctrl,control,BTBR T<+> Itpr3<tf>/J,f,2672,633,002282,1
50601,Tarantino2,OFT_distance_ctrl,control,BTBR T<+> Itpr3<tf>/J,f,2812,179,002282,1
50601,Tarantino2,OFT_distance_ctrl,control,BTBR T<+> Itpr3<tf>/J,f,1769,180,002282,1
50601,Tarantino2,OFT_distance_ctrl,control,BTBR T<+> Itpr3<tf>/J,f,2374,249,002282,1
50601,Tarantino2,OFT_distance_ctrl,control,BTBR T<+> Itpr3<tf>/J,f,3775,251,002282,1
50601,Tarantino2,OFT_distance_ctrl,control,BTBR T<+> Itpr3<tf>/J,f,3366,321,002282,1
